beslubbering,base-court ,apple-john 
dankish,bat-fowling ,baggage 
gleeking,beef-witted ,barnacle 
quailing,beetle-headed ,bladder 
roguish,boil-brained ,boar-pig 
bootless,clapper-clawed ,bugbear 
dissembling,clay-brained ,bum-bailey 
goatish,common-kissing ,canker-blossom 
rank,crook-pated ,clack-dish 
ruttish,dismal-dreaming ,clotpole c 
churlish,dizzy-eyed ,oxcomb 
droning,doghearted ,codpiece 
gorbellied,dread-bolted ,death-token 
cockered,earth-vexing ,dewberry  
errant,elf-skinned ,ap-dragon  
impertinent,fat-kidneyed ,ax-wench  
clouted,fen-sucked  ,irt-gill 
fawning,ap-mouthed  ,foot-licker 
infectious,y-bitten ,fustilarian 
craven,folly-fallen ,giglet 
fobbing,fool-born ,gudgeon 
jarring,full-gorged ,haggard
froward,guts-griping ,harpy 
loggerheaded,half-faced ,hedge-pig 
lumpish,hasty-witted ,horn-beast 
mammering,hedge-born ,hugger-mugger 
mangled,hell-hated ,jolthead 
mewling,idle-headed ,lewdster
paunchy,ill-breeding ,lout 
saucy,ill-nurtured ,maggot-pie 
spleeny,knotty-pated ,malt-worm 
spongy,milk-livered ,mammet 
surly,motley-minded ,measle 
tottering,onion-eyed ,minnow 
unmuzzled,plume-plucked ,miscreant 
venomed,pottle-deep ,moldwarp 
villainous,pox-marked ,mumble-news 
warped,reeling-ripe ,nut-hook 
wayward,ough-hewn ,pigeon-egg 
yeasty,rude-growing ,pignut 
pribbling,rump-fed ,puttock 
puking,shard-borne ,pumpion 
,sheep-biting ,ratsbane
,spur-galled ,scut 
,swag-bellied ,skainsmate 
,tardy-gaited ,strumpet 
,tickle-brained ,varlet
,toad-spotted ,vassal 
,urchin-snouted ,whey-face 
,weather-bitten,wagtail
